PLOT,NORTHING,EASTING,pice,,"Note: 116, 150, and 117 are pretty hard to get to from what I can see on the map. The other potential plots are marked in yellow."
D116,580943,3394001,117.402006,,
D117,581543,3394015,158.6594261,,
D131,580341,3390422,200,,
D150,580341,3394622,150.7705843,,
D182,585142,3392830,132.8257508,,
D19,581542,3392823,125.99455,,
D220,585140,3397020,154.5443619,,
D32,582756,3393412,119.9619841,,
D40,582749,3394633,125.1768639,,
