PLOT,NORTHING,EASTING,qugrav,,Note:
D101,581547,3397022,28.57142857,,"D267, D268 are on old Eppenauer property down very steep drainages."
D110,579139,3395824,9.301084392,,"D101 is accessible, D110 is on the backside of richmond mountain and not accessible easily"
D267,588738,3401224,35.19594736,,
