PLOT,EASTING,NORTHING,QUGRI
D101,581547,3397022,75.01472062
D105,583941,3397017,60
D115,580341,3394016,68.57142857
D151,579740,3394618,53.57142857
D219,588143,3396417,60
D237,584540,3398824,64.28571429
D29,582147,3392222,58.62068966
D54,581550,3394627,66.66666667
D8,579763,3391574,64.70588235
D93,580342,3395219,82.60869565
