tag.new,tag.original,site,date,notes
1163,1163,Pine Canyon,2/1/2015,
920,1164,Pine Canyon,2/1/2015,
1165,1165,Pine Canyon,2/1/2015,
1167,1167,Pine Canyon,2/1/2015,
1162,1162,Pine Canyon,2/1/2015,
921,921,Pine Canyon,2/1/2015,UNNECESSARY TAG.
