tag,area,mass
110,3,0.0372
128,3,0.0382
156,3,0.0295
161,3,0.0255
225,,0.0366
227,3,0.0236
239,3,0.0361
252,3,0.038
270,3,0.022
271,3,0.0483
274,3,0.0314
277,3,0.0285
364,3,0.063
379,3,0.0292
537,3,0.0297
543,3,0.0192
1000,6.8,0.0588
1003,2.4,0.0254
1010,0.5,0.007
1013,8.5,0.0644
1015,3,0.0324
1020,3,0.0281
1022,3,0.0303
1024,6.8,0.0475
1025,2.4,0.0278
1029,2.4,0.0301
1032,0.7,0.0104
1033,0.7,0.0111
1038,3,0.0274
1043,3,0.0197
1046,3,0.0307
1050,3,0.0215
1051,3,0.0196
1053,3,0.0299
1056,3,0.0302
1103,3,0.0372
1105,3,0.0274
1107,3,0.0374
1109,3,0.0256
1112,3,0.0408
1114,3,0.0326
1117,3,0.0411
1118,3,0.0275
1119,3,0.0394
1121,3,0.0267
1123,8.5,0.0765
1125,3,0.0332
1127,3,0.0342
1132,3,0.0314
1133,8.5,0.0731
1134,3,0.0255
1136,3,0.0293
1138,0.7,0.0136
1140,3,0.0462
1141,0.7,0.0097
1142,3,0.0337
1143,3,0.0245
1146,3,0.0368
1150,3,0.025
1152,3,0.028
1153,3,0.0497
1154,3,0.0269
1155,3,0.0204
1158,3,0.0257
1202,3,0.0376
1205,3,0.0194
1210,3,0.0271
1211,3,0.069
1213,3,0.0245
1215,3,0.0364
1217,3,0.0626
1220,3,0.0295
1222,3,0.0316
1223,3,0.0266
1224,3,0.0253
1226,3,0.0567
1227,3,0.034
1230,3,0.0583
1231,3,0.0224
1232,3,0.0215
1236,3,0.0222
1240,3,0.0636
1241,3,0.03
1243,3,0.0249
1244,3,0.063
1245,3,0.0276
1247,3,0.0274
1249,0.7,0.0151
1250,3,0.0454
1252,3,0.0502
1256,3,0.0628
1258,3,0.0235
1260,3,0.0302
D4251,3,0.0278
P1019,3,0.032
P1216,3,0.0276
P1238,3,0.0469
P3076,2.4,0.0263
P3307,2.4,0.0247
P4284,3,0.0319
1161,3,0.0213
915,3,0.0231
906,3,0.0302
904,3,0.031
919,3,0.0353
905,3,0.0257
901,3,0.0229
916,3,0.0247
910,3,0.027
913,3,0.0181
909,3,0.0223
903,3,0.022
