Tray,Well,Tag,mass
Schwilk-1,F5,1230,1.08
Schwilk-1,F6,1255,1.52
Schwilk-1,F7,1238,1.2
Schwilk-1,F8,1243,1.13
Schwilk-1,F9,1256,1.13
Schwilk-1,F10,1053,1.24
Schwilk-1,F11,1250,1.16
Schwilk-1,F12,1146,1.62
Schwilk-1,G1,1033,1.22
Schwilk-1,G2,501,1.05
Schwilk-1,G3,1246,1.25
Schwilk-1,G4,1157,1.27
Schwilk-1,G5,1229,1.42
Schwilk-1,G6,227,1.02
Schwilk-1,G7,1035,1.37
Schwilk-1,G8,1260,1.54
Schwilk-1,G9,1232,1.1
Schwilk-1,G10,1040,1.39
Schwilk-1,G11,1143,1.1
Schwilk-1,G12,1043,1.23
Schwilk-1,H1,1236,1.39
Schwilk-1,H2,1254,1.71
Schwilk-1,H3,1052,1.13
Schwilk-1,H4,1249,1.26
Schwilk-1,H5,1054,1.21
Schwilk-1,H6,252,1.46
Schwilk-1,H7,1145,1.28
Schwilk-1,H8,1048,1.47
Schwilk-1,H9,1231,1.47
Schwilk-1,H10,1036,1.29
Schwilk-1,H11,1055,1.51
Schwilk-1,H12,1041,1.41
Schwilk-2,A1,1150,1.43
Schwilk-2,A2,1233,1.55
Schwilk-2,A3,1240,1.12
Schwilk-2,A4,1242,1.19
Schwilk-2,A5,1152,1.39
Schwilk-2,A6,1051,1.08
Schwilk-2,A7,1153,1.6
Schwilk-2,A8,1049,1.63
Schwilk-2,A9,239,1.44
Schwilk-2,A10,1155,1.51
Schwilk-2,A11,270,1.31
Schwilk-2,A12,1149,0.85
Schwilk-2,B1,1258,1.52
Schwilk-2,B2,364,1.24
Schwilk-2,B3,1259,1.46
Schwilk-2,B4,1148,1.42
Schwilk-2,B5,1042,1.48
Schwilk-2,B6,1235,1.33
Schwilk-2,B7,1205,1.11
Schwilk-2,B8,1257,1.42
Schwilk-2,B9,1144,1.46
Schwilk-2,B10,1213,1.36
Schwilk-2,B11,1247,1.19
Schwilk-2,B12,1226,1.27
Schwilk-2,C1,P1355,1.3
Schwilk-2,C2,1201,1.61
Schwilk-2,C3,1241,1.4
Schwilk-2,C4,1218,1.45
Schwilk-2,C5,128,0.96
Schwilk-2,C6,1215,1.41
Schwilk-2,C7,1118,1.65
Schwilk-2,C8,1131,1.71
Schwilk-2,C9,1108,1.04
Schwilk-2,C10,1123,1.25
Schwilk-2,C11,1122,1.55
Schwilk-2,C12,1104,1.12
Schwilk-2,D1,1112,1.64
Schwilk-2,D2,1127,1.55
Schwilk-2,D3,1126,1.07
Schwilk-2,D4,1129,1.18
Schwilk-2,D5,1101,1.47
Schwilk-2,D6,1124,1.52
Schwilk-2,D7,1125,1.25
Schwilk-2,D8,1130,1.37
Schwilk-2,D9,1110,1.33
Schwilk-2,D10,1141,1.43
Schwilk-2,D11,1105,1.3
Schwilk-2,D12,1134,1.4
Schwilk-2,E1,1106,1.49
Schwilk-2,E2,1121,1.49
Schwilk-2,E3,1139,1.64
Schwilk-2,E4,1140,1.66
Schwilk-2,E5,1107,1.47
Schwilk-2,E6,1117,1.6
Schwilk-2,E7,1102,1.63
Schwilk-2,E8,1109,1.21
Schwilk-2,E9,1132,1.62
Schwilk-2,E10,1114,1.34
Schwilk-2,E11,1142,1.3
Schwilk-2,E12,1120,1.24
Schwilk-2,F1,1137,1.11
Schwilk-2,F2,1115,1.03
Schwilk-2,F3,1029,0.99
Schwilk-2,F4,1013,1.68
Schwilk-2,F5,1000,1.51
Schwilk-2,F6,1010,1.35
Schwilk-2,F7,1032,1.12
Schwilk-2,F8,1020,1.37
Schwilk-2,F9,1133,1.59
Schwilk-2,F10,1003,1.3
Schwilk-2,F11,P3307,1.68
Schwilk-2,F12,1015,1.05
Schwilk-2,G1,1138,1.65
Schwilk-2,G2,1165,1.28
Schwilk-2,G3,1167,1.23
Schwilk-2,G4,1173,1.19
Schwilk-2,G5,1162,1.18
Schwilk-2,G6,1181,1.02
Schwilk-2,G7,1170,1.43
Schwilk-2,G8,1164,1.09
Schwilk-2,G9,1163,1.62
Schwilk-2,G10,1180,1.33
Schwilk-2,G11,1168,1.41
Schwilk-2,G12,1161,1.06
Schwilk-2,H1,1178,1.65
Schwilk-2,H2,1166,1.49
Schwilk-2,H3,1169,1.47
Schwilk-2,H4,1179,1.59
Schwilk-2,H5,1172,1.2
Schwilk-2,H6,1177,1.31
Schwilk-2,H7,1176,1.23
Schwilk-2,H8,1174,1.36
Schwilk-2,H9,1175,1.66
Schwilk-2,H10,1171,1.62
Schwilk-2,H11,917,1.38
Schwilk-2,H12,918,1.66
Schwilk-3,A1,908,1.47
Schwilk-3,A2,914,1.39
Schwilk-3,A3,902,1.62
Schwilk-3,A4,912,1.53
Schwilk-3,A5,907,1.38
Schwilk-3,A6,911,1.48
Schwilk-3,A7,1239,1.24
Schwilk-3,A8,1151,1.09
Schwilk-3,A9,1248,1.38
Schwilk-3,A10,1159,1.27
Schwilk-3,A11,1017,1.46
Schwilk-3,A12,1008,1.13
Schwilk-3,B1,1030,1.05
Schwilk-3,B2,1009,1.08
Schwilk-3,B3,1001,1.64
Schwilk-3,B4,1006,1.15
Schwilk-3,B5,1004,1.42
Schwilk-3,B6,1031,1.28
Schwilk-3,B7,1024,1.65
Schwilk-3,B8,1021,1.33
Schwilk-3,B9,1014,1.36
Schwilk-3,B10,1026,1.44
Schwilk-3,B11,1018,1.2
Schwilk-3,B12,1012,1.47
Schwilk-3,C1,1019,1.42
Schwilk-3,C2,1016,1.56
Schwilk-3,C3,1007,1.2
Schwilk-3,C4,1011,1.45
Schwilk-3,C5,P3076,1.48
Schwilk-3,C6,1002,1.02
Schwilk-3,C7,1005,1.43
Schwilk-3,C8,913,1.42
Schwilk-3,C9,910,1.4
Schwilk-3,C10,906,1.49
Schwilk-3,C11,903,1.55
Schwilk-3,C12,915,1.6
Schwilk-3,D1,905,1.39
Schwilk-3,D2,919,1.48
Schwilk-3,D3,909,1.39
Schwilk-3,D4,904,1.54
Schwilk-3,D5,901,1.27
Schwilk-3,D6,916,1.43
Schwilk-3,D7,1136,1.28
Schwilk-3,D8,1119,1.49
Schwilk-3,D9,1113,1.32
Schwilk-3,D10,1128,1.45
Schwilk-3,D11,1135,1.3
Schwilk-3,D12,1111,1.27
Schwilk-3,E1,1116,1.19
Schwilk-3,E2,504,1.28
Schwilk-3,E3,1025,1.52
Schwilk-3,E4,1022,1.31
Schwilk-3,E5,1028,1.06
Schwilk-3,E6,P861,1.34
Schwilk-3,E7,1023,1.03
Schwilk-3,E8,P4282,1.21
Schwilk-3,E9,P4251,1.46
Schwilk-3,E10,1037,1.32
Schwilk-3,E11,1027,1.4
Schwilk-3,E12,256,1.34
