sampleNo,file.name,DisplayDelta1.13C,DisplayDelta2.18O,SMOWConverted.18O,R_1EC.C,DisplayDelta1.N15,R_1EC.N15
17,schwilk1 e02.raw,-21.953065443,-2.5248711026,28.2572113752,56.220138936,0.9960554697,1.6627287144
18,schwilk1 e03.raw,-27.7692537478,-2.0433202763,28.75362286,57.5341044071,-0.33231181,2.0116229765
19,schwilk1 e04.raw,-23.027435999,-2.2586443711,28.5316538636,56.0442852142,3.1811112779,1.5252114129
20,schwilk1 e05.raw,-24.405077722,-3.3495633434,27.4070691318,54.3409621266,1.084291082,1.0908210477
21,schwilk1 e06.raw,-25.9584055901,-4.0458796238,26.689264531,55.0306822781,1.5999589955,1.7072414862
22,schwilk1 e07.raw,-26.9147606461,-3.7309314629,27.0139319922,54.1297396322,-0.1099394007,0.8782593482
23,schwilk1 e08.raw,-25.1714902005,-4.4910628484,26.2303429521,53.2739540152,-1.0497231131,2.3434391376
24,schwilk1 e09.raw,-21.8143889456,-3.1940652407,27.567365906,56.4261658103,-0.2660743518,1.5664721212
25,schwilk1 e10.raw,-28.5682431924,-3.893944187,26.8458886954,52.9639907832,2.4131493699,2.7068332746
26,schwilk1 e11.raw,-21.2959216233,-4.6309740493,26.0861140915,53.7091039039,1.5638873553,1.3385585631
27,schwilk1 e12.raw,-26.5451117774,-3.4813992469,27.2711647723,54.5639573935,1.6280538714,1.8808927377
28,lb3.raw,-25.9599597287,-0.0416999683,30.8170131707,31.9226586525,5.6,8.476411502
29,schwilk1 f01.raw,-26.655467966,-4.2450889071,26.4839076492,54.4285292479,1.0135730635,2.4354566993
30,schwilk1 f02.raw,-24.6255418326,-2.9181114808,27.8518355989,56.6633984458,0.5770191607,1.5390728309
31,schwilk1 f03.raw,-25.6792462908,-4.0365997162,26.6988308166,54.9552807929,-0.4284692766,2.2072029998
32,schwilk1 f04.raw,-23.107172595,-4.3056038948,26.421525169,56.7339274006,0.0718938746,1.1372391933
33,schwilk1 f05.raw,-26.1168333038,-2.9079352038,27.8623259158,57.9059797565,1.2009763496,1.7710088576
34,schwilk1 f06.raw,-25.5491340541,-4.0818319809,26.6522026842,53.9137552656,4.2169629981,1.5542326296
35,schwilk1 f07.raw,-25.4232856832,-3.09214874,27.6724275499,55.3714486102,2.3238212017,1.3823572482
36,schwilk1 f08.raw,-27.2551573694,-2.7114506739,28.0648739583,55.486823176,1.0071183059,2.672834454
37,schwilk1 f09.raw,-24.9146566403,-3.121185792,27.6424944144,57.5680074544,2.3900571694,1.8766374212
38,schwilk1 f10.raw,-25.0459526972,-3.0922035041,27.6723710958,56.8337061456,-0.7709402612,2.1581035028
39,schwilk1 f11.raw,-24.6965831485,-3.0591729822,27.7064209396,53.7076784674,1.6239862446,1.8495119671
40,schwilk1 f12.raw,-27.165027859,-4.2615246087,26.4669647419,51.6657315393,1.4738322234,1.99463799
41,lb4.raw,-25.9990401117,-0.0313933506,30.8276378506,31.671222952,5.6,8.6428828308
2,lb1.raw,-26.0599642747,-0.0913413929,30.7658398117,31.2946762639,5.6,8.69718793
3,schwilk1 g01.raw,-25.7476981907,-3.0621555635,27.7033463159,54.8999505469,1.484492215,1.779962583
4,schwilk1 g02.raw,-26.1377886126,-2.5063001503,28.2763554271,55.6945843147,0.7573702413,1.3003770289
5,schwilk1 g03.raw,-21.2542391202,-3.2004481422,27.5607860281,53.2285186865,0.3638068924,1.0865979277
6,schwilk1 g04.raw,-26.0866586365,-3.1919649753,27.5695309855,52.8013098079,-0.4360068434,1.1799253966
7,schwilk1 g05.raw,-23.3663999037,-3.4454224229,27.3082518412,50.9922145407,1.5014459606,1.341905726
8,schwilk1 g06.raw,-26.0426128502,-2.24749972,28.5431424387,54.4169031685,1.0874901185,2.9961816523
9,schwilk1 g07.raw,-21.8981042384,-3.3081141806,27.4497974158,53.4021320337,0.5025785215,1.2114805078
10,schwilk1 g08.raw,-24.4833989992,-3.8427559644,26.8986565865,51.2435818177,1.050618397,2.9926026262
11,schwilk1 g09.raw,-27.4531820951,-2.5970056589,28.1828507465,53.1522233186,2.1516857916,3.0887362518
12,schwilk1 g10.raw,-24.6607791458,-3.2812321714,27.4775090038,49.7799147393,2.6700042613,1.1257601215
13,schwilk1 g11.raw,-23.9447579229,-2.5298797036,28.2520482087,53.5036393845,1.4312947793,2.7534543404
14,schwilk1 g12.raw,-25.5519822103,-3.3207691252,27.4367519396,54.778742518,-0.533021522,2.4421616893
15,lb2.raw,-26.0106985664,0.028176612,30.8890461422,30.8209673473,5.6,8.2639488778
16,schwilk1 h01.raw,-25.8696320779,-3.6891925923,27.0569589243,51.9104653711,-0.0008469955,2.2542308298
17,schwilk1 h02.raw,-25.029770919,-4.7891165038,25.9230913609,52.6676618826,3.9432763525,1.391562364
18,schwilk1 h03.raw,-21.7895153032,-2.8222843085,27.9506199977,51.878586327,0.2199673325,1.5595112521
19,schwilk1 h04.raw,-24.7577435323,-3.5371044201,27.2137405375,53.952749897,0.5716388472,1.516641697
20,schwilk1 h05.raw,-22.5643681484,-3.2591481048,27.5002745847,53.4884446717,-0.1458552328,1.208160816
21,schwilk1 h06.raw,-26.1500825485,-3.4566781544,27.2966487577,51.2091115519,1.6524595622,2.0997307108
22,schwilk1 h07.raw,-25.8641122235,-3.5065049581,27.2452842989,55.0579312008,1.1603679584,1.1868873957
23,schwilk1 h08.raw,-26.1068253111,-4.1208995236,26.6119295171,53.8090146442,0.4346265121,1.027525924
24,schwilk1 h09.raw,-28.0449309629,-3.7661442433,26.9776325454,51.2157735662,3.2129896144,2.885980101
25,schwilk1 h10.raw,-23.179403857,-3.715138091,27.0302127475,54.9197975775,0.5432766704,1.3434717949
26,schwilk1 h11.raw,-21.8449775195,-4.0497220732,26.6853035036,52.9369178818,0.8934405103,1.1975153904
27,schwilk1 h12.raw,-26.8059877037,-3.8770480065,26.863306292,54.6842279873,0.2890525552,1.1918271409
28,lb3.raw,-26.0027036142,-0.0429550538,30.8157193533,31.1792568707,5.6,8.5138735144
29,schwilk2 a01.raw,-24.6467179392,-3.7909323082,26.9520795208,54.3210052653,1.2938525608,2.2912404186
30,schwilk2 a02.raw,-22.9595053114,-4.0753493672,26.6588853513,52.8425737935,0.8780581517,1.2443492232
31,schwilk2 a03.raw,-27.3252995711,-2.0387517292,28.7583323925,54.6793705971,2.0543617762,1.3880391022
32,schwilk2 a04.raw,-22.328668104,-2.8566950774,27.9151473125,52.7504727761,2.3402585826,1.1722052619
33,schwilk2 a05.raw,-25.4084461481,-3.8293342363,26.9124925092,53.8241491162,1.1951461031,1.9054440968
34,schwilk2 a06.raw,-27.3306354128,-2.9636959199,27.804844424,55.2317388058,0.1411863553,2.6091208076
35,schwilk2 a07.raw,-25.8245580226,-4.3341331255,26.3921155263,49.441351734,0.1801033767,1.9946107307
36,schwilk2 a08.raw,-21.5263084976,-4.7476638387,25.9658232553,52.4644663204,0.6382130087,1.5913587507
37,schwilk2 a09.raw,-24.7358470934,-4.245807781,26.4831665909,54.3397510629,1.4559030425,2.2590576649
38,schwilk2 a10.raw,-24.2895095578,-4.2745909003,26.4534952245,50.3292115418,0.4321756743,1.8901968513
39,schwilk2 a11.raw,-26.631987652,-3.7215810209,27.0235709888,52.0626550008,0.7657797186,2.4654315348
40,schwilk2 a12.raw,-24.7788217379,-1.9763917508,28.8226167998,57.1982096862,1.0181869371,1.3596597576
41,lb4.raw,-25.9944070593,0.0392318184,30.9004425123,31.9076529349,5.6,8.4642924569
42,schwilk2 b01.raw,-26.7892160766,-4.3684576154,26.3567317826,51.9817969955,1.8840885049,2.7163034033
43,schwilk2 b02.raw,-26.8921100501,-3.7146152051,27.0307517696,55.2561778129,2.4253550795,1.4416436612
44,schwilk2 b03.raw,-24.9989507887,-4.3534501196,26.3722024097,54.2101573936,1.6925550929,1.2793365933
45,schwilk2 b04.raw,-24.5202793779,-4.0672838389,26.6671997818,51.6336770773,1.0160042215,1.2210062347
46,schwilk2 b05.raw,-23.6199840938,-4.2181451476,26.5116828932,52.1156943563,-0.8748446457,1.2439729289
47,schwilk2 b06.raw,-24.0172025723,-3.7721484683,26.97144303,53.2484503114,1.5600428558,1.2218061448
48,schwilk2 b07.raw,-26.5672875368,-2.9401487762,27.8291182326,52.2222403142,1.4805355229,2.2815677723
49,schwilk2 b08.raw,-22.6644176738,-4.0715899287,26.6627608061,52.4068497857,3.3483000714,0.8783083063
50,lb5.raw,-25.9820581003,-0.0252074126,30.8340146866,31.7974465832,5.6,8.5606972209
2,lb1.raw,-26.1598655768,-1.7971086443,29.007432583,30.7283523068,5.6,8.8530081695
3,schwilk2 b09.raw,-24.4120148312,-1.9639879519,28.8354033799,55.5102683569,1.3444371519,1.9806546147
4,schwilk2 b10.raw,-25.2422804592,-1.6948282301,29.1128693707,51.9664234379,0.8405163553,2.390641273
5,schwilk2 b11.raw,-26.4289866594,-1.3882541651,29.4289043114,52.7274161417,0.1486505699,2.5230401132
6,schwilk2 b12.raw,-26.4019128584,-1.5900160433,29.2209160616,54.5658786187,2.7911123141,1.9755042939
7,lb2.raw,-25.936495113,0.01507574,30.8755409773,31.7471208213,5.6,8.6647928104
8,schwilk2 c01.raw,-23.7182473363,-1.3924884988,29.4245393061,53.7797800011,2.2246844746,1.7201590997
9,schwilk2 c02.raw,-26.939745071,-2.3240048196,28.4642763916,54.261016065,1.090371775,1.4616417101
