sampleNo,file.name,DisplayDelta1.13C,DisplayDelta2.18O,SMOWConverted.18O,R_1EC.C,DisplayDelta1.N15,R_1EC.N15
18,schwilk3 c03.raw,-23.994450516,-2.0565695802,28.7399646826,55.7352461811,-2.7938232776,1.5270675719
19,schwilk3 c04.raw,-25.1865584839,-2.329348298,28.4587680136,55.3245433732,1.7624125109,1.2112986367
20,schwilk3 c05.raw,-26.3959359387,-2.128407086,28.6659102713,52.6211285464,0.3583779708,2.3584091955
21,schwilk3 c06.raw,-24.1941581884,-1.3833142274,29.4339966955,54.731811358,-1.4890111195,1.2560432146
22,schwilk3 c07.raw,-24.3087027915,-1.8840524067,28.917805736,55.8531576603,-2.5240784302,1.2956461425
23,schwilk3 c08.raw,-27.6236914344,-1.8174388799,28.9864749562,55.1420817563,-0.8631208044,2.7489423789
24,schwilk3 c09.raw,-27.3695894691,-1.643630167,29.1656474061,53.7658643055,-3.954672659,2.9649868902
25,schwilk3 c10.raw,-27.8700250338,-1.7221513767,29.0847030318,55.5549397715,0.6139623124,2.3377789712
26,schwilk3 c11.raw,-27.6406098019,-1.7644436163,29.0411056537,54.6436009885,0.5308551017,2.6206266022
27,schwilk3 c12.raw,-26.5004441357,-1.6979991884,29.1096005567,54.1616830481,-0.6261017462,2.8790588387
28,lb2.raw,-26.0056888043,-0.1412910814,30.7143486758,30.642541202,5.6,8.2560904242
29,schwilk3 d01.raw,-27.9392266866,-0.7625366461,30.073931473,54.4751968932,-1.2715306645,2.968825565
30,schwilk3 d02.raw,-26.1309202079,-0.9494919355,29.8812067434,55.3666035301,2.1494316595,2.868385988
31,schwilk3 d03.raw,-26.7749707377,-1.0469939184,29.7806958493,54.9183770001,-0.6289984681,2.5876333333
32,schwilk3 d04.raw,-26.9958742237,-1.3944564064,29.4225106689,50.9823344541,-0.4348922654,2.2345075406
33,schwilk3 d05.raw,-27.6229962105,-0.9353780683,29.8957561646,55.149510024,0.5396562197,2.9892986443
34,schwilk3 d06.raw,-26.5316149156,-1.4958010435,29.3180385363,55.3817296893,-0.7973960102,3.0649201951
35,schwilk3 d07.raw,-24.5434913475,-1.2140481466,29.6084863276,55.310655571,0.7911813681,2.0123470188
36,schwilk3 d08.raw,-25.0052194173,-1.5271687556,29.2857028166,52.0086011343,1.1874979597,1.9362167513
37,schwilk3 d09.raw,-24.3323562846,-1.8010134849,29.003407239,56.9359194576,0.3237764817,1.6626031863
38,schwilk3 d10.raw,-25.605822093,-1.6263409166,29.1834702027,55.6242118262,-1.0742011784,1.1826251207
39,schwilk3 d11.raw,-25.0694291148,-1.6291330247,29.1805919301,56.8905172601,1.4701283471,1.2881146878
40,schwilk3 d12.raw,-24.0473514108,-1.6947284211,29.1129722598,55.2927821521,0.6919090408,1.4573077195
41,lb3.raw,-25.9794109701,0.0744575192,30.9367552782,31.9206350737,5.6,8.6803361134
42,schwilk3 e01.raw,-24.1656912034,-1.6504554927,29.1586114508,57.6160048421,-0.1595410272,1.1288595099
43,schwilk3 e02.raw,-23.7421594388,-1.578493662,29.2327940236,55.4925282075,0.0138356318,1.116353115
44,schwilk3 e03.raw,-26.9033989538,-1.8835039221,28.9183711468,50.6578843665,-1.3520723238,2.139396767
45,schwilk3 e04.raw,-25.9540122935,-1.8608890743,28.9416838888,53.2260441659,2.4194496558,2.4136239523
46,schwilk3 e05.raw,-23.8031122445,-1.2482370141,29.5732423916,56.594190453,0.7285452702,1.2523631778
47,schwilk3 e06.raw,-25.3552458271,-1.846070766,28.9569594902,54.90730942,1.1771056567,1.2954582726
48,schwilk3 e07.raw,-23.8285868522,-1.2778933164,29.5426708959,56.501331202,2.0964398558,1.5057030791
49,schwilk3 e08.raw,-26.741854548,-1.4511892863,29.3640270123,51.1277120407,0.0944010396,1.229560305
50,lb15.raw,-25.9890244843,0.0187995301,30.8793796836,32.0574571797,5.6,8.7075283977
3,schwilk3 e09.raw,-26.5927549728,-1.4223142288,29.3937931541,50.7910856233,0.3534075454,2.4752771185
4,schwilk3 e10.raw,-24.7800221476,-1.5872806018,29.2237359189,55.1700192983,-1.5696534264,1.5774145428
5,schwilk3 e11.raw,-22.360286444,-1.8662130261,28.9361956399,52.9908422461,1.7562735075,1.5263610712
6,schwilk3 e12.raw,-26.011534043,-1.9420107319,28.8580588169,54.9134495331,1.73298461,1.1994093849
7,lb2.raw,-25.9894176992,-0.0222001767,30.8371147259,31.8909223016,5.6,8.6873641928
