date,species,tag,weight,A595.1,A595.2,A595.3,vol.supernatent,pair.area,pair.wet.mass,pair.dry.date,pair.dry.mass,notes
4/8/2015,QUEM,110,0.0417,0.0753,0.0716,0.0897,0.63,3,0.0382,4/10/2015,0.0185,
3/30/2015,QUGR3,128,0.0402,0.1566,0.1236,0.1167,0.634,3,0.0404,4/2/2015,0.0212,
4/10/2015,QUGR3,156,0.036,0.0975,0.0573,0.0922,0.562,3,0.0341,4/15/2015,0.0159,
5/15/2015,QUGR2,161,0.0285,0.0306,0.0143,0.0469,0.65,3,0.0274,4/10/2015,0.0132,
4/10/2015,QUEM,225,0.0371,0.0712,0.0662,0.0951,0.576,3,0.0367,4/15/2015,0.0189,
3/21/2015,QUGR2,227,0.0243,0.0567,0.0985,0.0679,0.52,3,0.0227,3/24/2015,0.0126,
3/30/2015,QUGR2,227,0.031,0.013,0.0139,0.0475,0.584,3,0.0313,4/2/2015,0.0144,
3/22/2015,QUEM,239,0.0367,0.1025,0.1034,0.1104,0.548,3,0.0366,3/24/2015,0.0197,
3/22/2015,QUGR3,252,0.0364,0.0596,0.067,0.0583,0.622,3,0.0359,3/24/2015,0.0207,
3/22/2015,QUGR2,270,0.0239,0.069,0.0496,0.0199,0.548,3,0.0257,3/24/2015,0.0124,
5/15/2015,QUEM,274,0.0331,0.0545,0.1062,0.101,0.75,3,0.0318,4/10/2015,0.0162,
3/22/2015,QUHY,364,0.0538,0.1924,0.1762,0.2036,0.546,3,0.0534,3/24/2015,0.0329,
3/22/2015,QUGA,379,0.0297,0.03,0.07,0.0432,0.484,3,0.03,3/24/2015,0.0158,
4/10/2015,QUGR3,537,0.0319,0.0941,0.069,0.0368,0.574,3,0.0293,4/15/2015,0.0163,
5/1/2015,QUGR2,543,0.0311,0.0651,0.076,0.0739,0.49,3,0.0301,4/10/2015,0.0131,
2/2/2015,QUMU,901,0.0262,0.0882,0.0906,0.1147,0.245,3,0.0263,2/4/2015,0.0143,
3/14/2015,PIPO,902,0.0507,0.2159,0.2265,0.1638,0.501,,0.1257,3/16/2015,0.0549,PINES
2/4/2015,QUMU,903,0.0274,0.1827,0.1609,0.1525,0.501,3,0.0279,2/6/2015,0.0145,
2/25/2015,QUGR3,904,0.0381,0.1083,0.0758,0.0776,0.562,3,0.0283,2/27/2015,0.0187,
2/2/2015,QUMU,905,0.0228,0.1546,0.1566,0.1298,0.55,3,0.0254,2/4/2015,0.013,
2/4/2015,QUMU,906,0.0302,0.0302,0.169,0.1723,0.501,3,0.03,2/6/2015,0.0158,
3/21/2015,PIPO,907,0.3271,0.2843,0.3165,0.3033,0.386,,0.1251,3/24/2015,0.055,PINES
3/14/2015,PIED,908,0.0298,-0.0513,-0.0447,-0.0586,0.501,,0.0654,3/16/2015,0.0268,PINES
2/2/2015,QUMU,909,0.0265,0.0863,0.0865,0.0935,0.61,3,0.0254,2/4/2015,0.0143,
2/3/2015,QUGA,910,0.0303,0.0554,0.0287,0.0363,0.5,3,,,,Bad run. Toss
2/4/2015,QUGA,910,0.0281,0.0266,0.0499,0.1572,0.5,3,0.0291,2/6/2015,0.0155,
3/21/2015,PIED,911,0.048,0.0578,0.1026,0.0539,0.52,,0.0609,3/24/2015,0.0255,PINES
3/21/2015,PIST3,912,0.0422,0.0395,0.0528,0.026,0.51,,0.0501,3/24/2015,0.0211,PINES
2/25/2015,QUGA,913,0.0216,0.26,0.0579,0.0032,0.562,3,0.0206,2/27/2015,0.0102,
3/14/2015,PIED,914,0.0254,0.0563,0.0667,0.0842,0.49,,0.0393,3/16/2015,0.0159,PINES
2/2/2015,QUMU,915,0.0293,0.064,0.0919,0.0961,0.247,3,0.0303,2/4/2015,0.0149,
2/3/2015,QUGA,916,0.0248,0.0028,-0.005,-0.0011,0.51,3,,,,Bad run. Toss
2/4/2015,QUGA,916,0.0302,0.0411,0.0615,0.0499,0.51,3,0.0203,2/6/2015,0.013,
3/14/2015,PIST3,917,0.0872,0.1427,0.1391,0.1426,0.49,,0.0793,3/16/2015,0.0288,PINES
3/21/2015,PIST3,918,0.0594,0.3049,0.2988,0.3802,0.51,,0.0532,3/24/2015,0.0213,PINES
3/21/2015,QUGR3,919,0.0359,0.1492,0.2735,0.1841,0.52,,0.0413,3/24/2015,0.0203,PINES
4/27/2015,QUMU,1000,0.0295,0.0614,0.0627,0.1023,0.662,3,0.0326,4/29/2015,0.0157,
4/27/2015,QUGR3,1003,0.0344,0.0921,0.1319,0.1091,0.674,3,0.0341,4/29/2015,0.0175,
4/27/2015,QUPU,1010,0.0143,0.0569,0.0403,0.0696,0.802,1,0.0139,4/29/2015,0.0083,leaves too small to take 3 hole punches. only able to take 1
4/27/2015,QUMU,1013,0.0263,0.0331,0.0939,0.1062,0.674,3,0.0261,4/29/2015,0.0124,
4/27/2015,QUGR3,1015,0.0336,0.1253,0.1254,0.124,0.802,3,0.0347,4/29/2015,0.018,
4/27/2015,QUGR3,1020,0.0352,0.1118,0.125,0.1379,0.714,3,0.0325,4/29/2015,0.0154,
