plot,JUDE2,PICE,PIPO,PIST3,QUEM,QUGA,QUGR2,QUGR3,QUHY,easting ,northing,long,lat,,,,,,,,,,,,,,,,,,,,,,,,,,
D82,100,22,0,0,0,0,0,40,39,581546,3395821,-104.149,30.6924,,,,,,,,,,,,,,,,,,,,,,,,,,
D83,115,46,0,0,0,0,0,21,19,580939,3395822,-104.155,30.6924,,,,,,,,,,,,,,,,,,,,,,,,,,
D84,0,64,0,0,31,0,0,53,53,580342,3392821,-104.161,30.6654,,,,,,,,,,,,,,,,,,,,,,,,,,
D85,0,200,0,0,0,0,0,0,0,579132,3392221,-104.174,30.6601,,,,,,,,,,,,,,,,,,,,,,,,,,
D86,48,27,0,0,0,0,0,70,55,579145,3392821,-104.174,30.6655,,,,,,,,,,,,,,,,,,,,,,,,,,
D87,42,53,54,0,0,0,0,32,19,579754,3392821,-104.167,30.6654,,,,,,,,,,,,,,,,,,,,,,,,,,
D88,99,16,0,0,0,0,0,55,31,579137,3393406,-104.174,30.6708,,,,,,,,,,,,,,,,,,,,,,,,,,
D89,38,67,0,0,0,0,0,52,43,578542,3393419,-104.18,30.6709,,,,,,,,,,,,,,,,,,,,,,,,,,
D9,18,126,0,0,0,0,0,8,6,580345,3392258,-104.161,30.6603,,,,,,,,,,,,,,,,,,,,,,,,,,
D90,6,25,0,0,0,0,0,83,87,577942,3393412,-104.186,30.6709,,,,,,,,,,,,,,,,,,,,,,,,,,
D91,0,85,0,0,0,0,0,50,66,577941,3392824,-104.186,30.6656,,,,,,,,,,,,,,,,,,,,,,,,,,
D92,125,35,0,0,0,0,0,15,25,578545,3392822,-104.18,30.6655,,,,,,,,,,,,,,,,,,,,,,,,,,
D93,189,11,0,0,0,0,0,0,0,580342,3395219,-104.161,30.687,,,,,,,,,,,,,,,,,,,,,,,,,,
D94,104,39,0,0,0,0,0,31,26,582131,3395219,-104.142,30.6869,,,,,,,,,,,,,,,,,,,,,,,,,,
D95,77,73,0,0,0,0,1,24,19,581543,3397621,-104.148,30.7086,,,,,,,,,,,,,,,,,,,,,,,,,,
D96,128,8,0,0,0,0,0,29,36,582136,3397624,-104.142,30.7086,,,,,,,,,,,,,,,,,,,,,,,,,,
