plot,JUDE2,JUFL,JUPI,PICE,PIPO,PSME,QUEM,QUGR2,QUGR3,QUMU,easting,northing,long,lat
plot141,48,12,10,87,0,0,0,0,43,0,663491,3236982,-103.317,29.2511
plot142,0,200,0,0,0,0,0,0,0,0,663361,3236759,-103.319,29.2491
plot143,14,12,0,174,0,0,0,0,0,0,663233,3236534,-103.32,29.2471
plot144,0,46,0,70,0,0,0,7,72,0,664388,3236272,-103.308,29.2446
plot145,26,33,0,47,0,0,8,0,86,0,663094,3236274,-103.322,29.2448
plot146,0,50,0,46,0,0,0,0,104,0,663302,3236120,-103.32,29.2434
plot147,0,14,12,68,0,0,0,0,106,0,663525,3235960,-103.317,29.2419
plot148,26,6,0,58,0,0,0,0,110,0,663730,3235812,-103.315,29.2405
plot149,8,14,0,108,0,0,0,0,70,0,664410,3236924,-103.308,29.2505
plot15,0,17,0,31,0,0,48,0,103,0,665525,3237704,-103.296,29.2574
plot150,16,0,0,21,0,0,19,27,110,0,664211,3237087,-103.31,29.252
plot16,37,0,0,59,0,0,72,6,27,0,665032,3237841,-103.302,29.2587
plot17,40,56,0,44,0,0,0,4,56,0,665187,3238046,-103.3,29.2605
plot18,0,0,0,39,0,0,5,0,155,0,666627,3239576,-103.285,29.2741
plot19,36,0,0,54,0,0,4,57,50,0,666514,3239344,-103.286,29.272
plot2,0,0,0,184,0,0,0,0,16,0,665394,3238758,-103.298,29.2669
plot20,8,0,0,50,0,0,9,29,68,0,666737,3239232,-103.284,29.271
plot21,76,0,0,113,0,0,0,0,11,0,666963,3239095,-103.281,29.2697
plot22,50,2,0,96,0,0,13,0,40,0,666854,3239453,-103.283,29.273
plot23,77,8,13,70,0,0,0,0,33,0,667080,3239314,-103.28,29.2717
plot24,0,0,80,0,0,0,0,0,120,0,667013,3240551,-103.281,29.2829
plot25,0,27,0,30,0,0,48,35,59,0,667236,3240430,-103.278,29.2817
plot26,0,0,0,83,0,0,103,0,15,0,667205,3240776,-103.279,29.2849
plot27,0,0,0,35,0,0,165,0,0,0,667381,3240624,-103.277,29.2835
plot28,0,0,0,165,0,0,0,0,0,0,667567,3240824,-103.275,29.2853
plot29,0,0,78,59,0,0,0,0,63,0,667729,3241040,-103.273,29.2872
plot3,0,47,0,40,0,0,0,114,0,0,665140,3238380,-103.3,29.2635
plot30,0,0,41,66,0,0,0,0,93,0,667548,3241186,-103.275,29.2885
plot31,0,0,0,85,0,0,0,0,115,0,667380,3240990,-103.277,29.2868
plot32,30,17,0,50,0,0,0,0,104,0,665253,3235356,-103.3,29.2362
plot33,13,79,0,52,0,0,0,0,57,0,665374,3235593,-103.298,29.2383
plot35,59,0,0,94,0,0,0,48,0,0,665564,3235418,-103.296,29.2367
plot36,44,0,0,36,0,0,0,120,0,0,665464,3235231,-103.297,29.2351
plot37,18,0,0,104,0,0,0,0,78,0,665322,3235034,-103.299,29.2333
plot38,45,8,0,88,0,0,0,0,59,0,665522,3234867,-103.297,29.2318
plot39,27,0,0,118,0,0,0,0,55,0,665431,3236105,-103.298,29.243
plot4,27,0,0,95,0,0,0,0,78,0,664995,3238180,-103.302,29.2617
plot40,71,0,0,87,0,0,0,0,42,0,665240,3236253,-103.3,29.2443
plot41,19,7,0,70,0,0,0,6,99,0,665118,3236047,-103.301,29.2425
plot42,45,17,0,29,0,0,0,83,27,0,665636,3235089,-103.296,29.2338
plot43,15,17,0,76,0,0,0,51,42,0,665755,3235276,-103.294,29.2354
plot44,117,0,0,60,0,0,0,0,23,0,665876,3235466,-103.293,29.2371
plot45,46,0,0,90,0,0,0,0,64,0,666041,3235645,-103.291,29.2387
plot46,32,20,0,64,0,0,0,0,78,0,665837,3235890,-103.294,29.241
plot47,0,32,0,111,0,0,0,0,57,0,665655,3235936,-103.295,29.2414
plot48,43,0,0,130,0,0,0,0,27,0,666033,3235317,-103.292,29.2358
plot49,72,0,0,74,0,0,0,0,55,0,665955,3235129,-103.292,29.2341
plot5,0,75,0,82,0,0,0,43,0,0,664844,3237968,-103.303,29.2598
plot50,14,0,0,96,0,0,0,0,90,0,666164,3234999,-103.29,29.2329
plot51,48,14,0,55,0,0,0,0,84,0,666272,3235175,-103.289,29.2345
plot52,26,0,0,73,0,0,0,8,76,0,666410,3235375,-103.288,29.2362
plot53,43,0,0,93,0,0,0,0,60,0,665207,3234131,-103.3,29.2252
plot54,8,30,0,48,0,0,0,0,115,0,665377,3234352,-103.298,29.2272
plot55,59,0,0,49,0,0,0,0,92,0,665522,3234558,-103.297,29.229
plot56,42,0,0,151,0,0,0,0,7,0,665717,3234771,-103.295,29.2309
plot57,31,0,0,103,0,0,0,0,67,0,665840,3234985,-103.294,29.2328
plot58,25,0,0,88,0,0,0,49,38,0,665687,3235603,-103.295,29.2384
plot6,0,145,0,55,0,0,0,0,0,0,664660,3238130,-103.305,29.2613
plot60,36,0,0,119,0,0,0,0,44,0,665329,3234707,-103.299,29.2304
plot61,29,0,0,102,0,0,0,0,69,0,665010,3234266,-103.302,29.2264
plot62,42,0,0,92,0,0,0,8,57,0,665165,3234486,-103.301,29.2284
plot63,106,0,0,94,0,0,0,0,0,0,664969,3234627,-103.303,29.2297
plot64,46,0,0,106,0,0,0,0,48,0,664833,3234386,-103.304,29.2275
plot65,49,0,0,59,0,0,0,0,93,0,665561,3236277,-103.296,29.2445
plot66,28,0,0,85,0,0,0,0,86,0,665666,3236524,-103.295,29.2467
plot67,45,12,0,37,0,0,0,17,86,0,664730,3238695,-103.304,29.2664
plot68,38,0,0,67,0,0,0,0,95,0,664486,3237986,-103.307,29.2601
plot69,0,0,0,135,0,0,65,0,0,0,667695,3241616,-103.274,29.2924
plot7,5,16,0,37,0,0,0,0,142,0,664814,3238329,-103.304,29.2631
plot70,0,53,0,59,0,0,88,0,0,0,667991,3241462,-103.271,29.291
plot74,0,0,116,0,0,0,0,0,84,0,667247,3241446,-103.278,29.2909
plot76,0,0,0,0,0,0,200,0,0,0,666904,3240997,-103.282,29.2869
plot77,0,0,0,41,0,0,159,0,0,0,665617,3241679,-103.295,29.2932
plot79,0,0,157,0,0,0,0,0,43,0,665921,3242080,-103.292,29.2968
plot8,30,0,0,145,0,0,12,0,12,0,664974,3238539,-103.302,29.265
plot80,0,0,142,0,0,0,0,0,58,0,666043,3242295,-103.29,29.2987
plot81,0,0,31,154,0,0,0,0,15,0,666206,3242483,-103.289,29.3004
plot82,55,38,0,89,0,0,0,0,18,0,666756,3242517,-103.283,29.3006
plot83,43,0,0,118,0,0,0,0,40,0,666480,3242485,-103.286,29.3004
plot84,0,107,0,93,0,0,0,0,0,0,666291,3242294,-103.288,29.2987
plot85,37,0,0,163,0,0,0,0,0,0,665085,3235194,-103.301,29.2348
plot86,34,0,0,148,0,0,0,0,18,0,664933,3234972,-103.303,29.2328
plot87,0,0,0,140,0,0,0,0,60,0,664771,3234751,-103.305,29.2308
plot88,0,0,0,200,0,0,0,0,0,0,664748,3235135,-103.305,29.2343
plot89,0,22,0,178,0,0,0,0,0,0,664905,3235310,-103.303,29.2359
plot9,61,53,0,65,0,0,0,0,21,0,665131,3238736,-103.3,29.2667
plot90,8,0,0,168,0,0,0,0,24,0,665036,3235525,-103.302,29.2378
plot91,22,7,0,43,0,0,0,0,129,0,664844,3236535,-103.304,29.2469
plot92,0,57,0,81,0,0,0,4,51,0,664708,3236346,-103.305,29.2452
plot93,4,9,0,79,0,0,0,0,103,0,665173,3236581,-103.3,29.2473
plot94,200,0,0,0,0,0,0,0,0,0,665303,3236794,-103.299,29.2492
plot95,19,0,0,76,0,0,0,0,105,0,665330,3236421,-103.299,29.2458
plot96,0,0,0,184,0,0,0,0,16,0,665036,3236375,-103.302,29.2454
plot97,0,28,0,75,0,0,0,0,97,0,664897,3236199,-103.303,29.2439
plot98,0,12,0,56,0,0,0,14,118,0,664761,3235977,-103.305,29.2419
plot99,29,6,0,83,0,0,0,12,70,0,664965,3235848,-103.302,29.2407
