plot,JUDE2,PIED,PIPO,PIST3,PSME,QUGA,QUMU,easting,northing,long,lat
plot1,0,2,69,6,84,39,0,514801,3532772,-104.843,31.9325
plot2,26,0,11,37,72,55,0,515001,3532462,-104.841,31.9297
plot3,17,0,4,34,65,81,0,514912,3532137,-104.842,31.9267
plot4,0,0,28,38,95,39,0,514935,3531292,-104.842,31.9191
plot5,3,0,6,141,22,26,0,515482,3531173,-104.836,31.918
plot6,0,0,0,115,53,33,0,515249,3531458,-104.839,31.9206
plot7,0,0,38,83,71,8,0,515084,3532160,-104.84,31.9269
plot8,0,0,24,0,92,64,0,516061,3530785,-104.83,31.9145
plot9,0,0,0,40,131,21,0,516190,3530977,-104.829,31.9162
plot10,0,0,43,71,41,45,0,516296,3531534,-104.828,31.9213
plot11,2,0,18,44,73,64,0,516013,3532250,-104.831,31.9277
plot12,0,0,5,82,80,28,0,515802,3532537,-104.833,31.9303
plot13,0,0,25,19,60,96,0,515800,3532800,-104.833,31.9327
plot14,103,0,83,0,8,7,0,515272,3532134,-104.838,31.9267
plot15,65,0,105,0,31,0,0,515279,3532321,-104.838,31.9284
plot16,162,0,30,0,8,0,0,515240,3532560,-104.839,31.9305
plot17,60,140,0,0,0,0,0,515148,3532782,-104.84,31.9325
plot18,70,28,70,0,32,0,0,514700,3532650,-104.844,31.9314
plot19,67,55,55,13,10,0,0,514716,3532414,-104.844,31.9292
plot20,60,140,0,0,0,0,0,514810,3532136,-104.843,31.9267
plot21,75,36,31,14,44,0,0,514750,3531903,-104.844,31.9246
plot22,55,98,43,0,4,0,0,514968,3533320,-104.842,31.9374
plot23,28,0,21,78,61,12,0,514692,3533691,-104.845,31.9407
plot24,60,93,17,0,24,0,0,515074,3533275,-104.841,31.937
plot25,0,0,0,37,118,46,0,514183,3531370,-104.85,31.9198
plot26,3,0,0,108,43,41,0,514358,3531499,-104.848,31.921
plot27,0,0,15,89,54,39,0,514600,3531700,-104.846,31.9228
plot28,23,0,160,17,0,0,0,515772,3531203,-104.833,31.9183
