plot,JUDE2,PIED,PIPO,PIST3,PSME,QUGA,QUMU,easting,northing,long,lat
plot29,20,0,8,7,138,27,0,515903,3531163,-104.832,31.9179
plot30,0,0,7,86,100,8,0,516136,3531290,-104.829,31.9191
plot31,5,0,7,3,139,46,0,516367,3531340,-104.827,31.9195
plot32,32,0,52,10,67,40,0,515190,3531300,-104.839,31.9192
plot33,0,0,26,40,96,38,0,515190,3531490,-104.839,31.9209
plot34,0,0,29,2,93,76,0,515030,3531690,-104.841,31.9227
plot35,50,0,9,52,29,56,0,514962,3531849,-104.842,31.9241
plot36,80,97,0,0,0,0,0,514449,3531998,-104.847,31.9255
plot37,0,0,0,29,124,40,0,514935,3531993,-104.842,31.9254
plot38,0,10,32,89,14,12,0,514350,3531820,-104.848,31.9239
plot39,0,0,0,49,69,71,0,514112,3532440,-104.851,31.9295
plot40,19,28,77,26,50,0,0,514200,3532300,-104.85,31.9282
plot41,51,28,112,0,10,0,0,514320,3532203,-104.849,31.9273
plot42,34,20,0,20,76,41,0,514420,3532380,-104.847,31.9289
plot43,0,0,4,24,137,31,0,514026,3532302,-104.852,31.9282
plot44,0,0,38,0,139,23,0,513878,3532082,-104.853,31.9262
plot45,0,0,0,36,104,61,0,513693,3531980,-104.855,31.9253
plot46,2,0,6,94,74,25,0,515740,3531819,-104.834,31.9238
plot47,9,0,10,15,95,71,0,515565,3531610,-104.835,31.922
plot48,5,0,10,29,73,83,0,515305,3531076,-104.838,31.9171
plot49,33,17,59,0,0,67,0,514442,3535229,-104.847,31.9546
plot50,0,0,0,95,32,18,12,514648,3535416,-104.845,31.9563
plot51,0,0,20,31,50,64,6,514377,3535095,-104.848,31.9534
plot52,87,82,23,0,0,0,0,514742,3534790,-104.844,31.9507
plot53,56,71,73,0,0,0,0,514563,3533070,-104.846,31.9351
plot54,75,4,40,0,64,0,17,514566,3533412,-104.846,31.9382
plot55,62,112,0,0,0,0,0,514406,3533311,-104.848,31.9373
plot56,125,18,43,0,10,5,0,514225,3533501,-104.85,31.939
plot57,39,128,34,0,0,0,0,512719,3534211,-104.865,31.9455
plot58,0,0,112,0,40,48,0,513178,3534066,-104.861,31.9441
plot59,0,0,31,48,83,31,0,513667,3534430,-104.855,31.9474
plot60,0,0,17,4,79,100,0,513939,3534678,-104.853,31.9497
plot61,41,12,3,0,67,66,0,514178,3532783,-104.85,31.9326
plot62,5,0,16,53,76,11,0,514068,3533123,-104.851,31.9356
plot63,0,0,0,44,74,42,0,513893,3533155,-104.853,31.9359
plot64,0,0,24,0,148,11,0,513830,3533026,-104.854,31.9348
plot65,0,0,4,0,151,45,0,513778,3532816,-104.854,31.9329
plot66,35,7,22,3,100,30,0,513830,3533773,-104.854,31.9415
plot67,83,7,35,0,76,0,0,513791,3533590,-104.854,31.9398
plot68,0,0,2,40,71,43,9,514004,3533678,-104.852,31.9406
plot69,2,0,9,43,42,41,0,514265,3534236,-104.849,31.9457
plot70,45,0,20,17,72,25,19,514003,3534306,-104.852,31.9463
plot71,37,163,0,0,0,0,0,514015,3534455,-104.852,31.9476
plot72,0,0,22,28,146,4,0,512520,3532212,-104.868,31.9274
plot73,0,0,0,85,46,22,0,512777,3532431,-104.865,31.9294
plot74,44,0,65,61,30,0,0,512334,3532428,-104.87,31.9294
plot75,0,0,17,45,109,27,0,512160,3532254,-104.871,31.9278
plot76,0,0,4,97,67,27,0,511881,3532803,-104.874,31.9328
plot77,0,0,12,161,3,18,0,512033,3533021,-104.873,31.9347
plot78,0,0,3,62,28,86,0,512434,3533212,-104.868,31.9365
plot79,4,0,5,55,80,5,0,512730,3533404,-104.865,31.9382
plot80,0,0,0,80,48,37,0,512263,3533664,-104.87,31.9405
plot81,0,0,8,64,109,20,0,512290,3533553,-104.87,31.9395
plot82,0,0,11,95,83,9,0,512156,3533482,-104.871,31.9389
plot83,9,3,87,24,68,9,0,511967,3533282,-104.873,31.9371
plot84,0,0,3,89,52,15,0,513322,3533483,-104.859,31.9389
plot85,0,0,9,0,115,76,0,513152,3533210,-104.861,31.9364
plot86,0,0,50,36,77,24,0,513034,3533144,-104.862,31.9358
plot87,12,110,78,0,0,0,0,512115,3534328,-104.872,31.9465
plot88,0,0,3,57,75,41,0,512508,3533936,-104.868,31.943
plot89,0,0,0,71,45,6,0,512322,3534045,-104.87,31.944
plot90,0,0,17,122,33,28,0,512075,3534103,-104.872,31.9445
plot91,15,43,86,9,48,0,0,512073,3533874,-104.872,31.9424
plot92,0,0,5,69,115,5,0,512591,3532881,-104.867,31.9335
plot93,0,0,9,68,103,20,0,512455,3532704,-104.868,31.9319
plot94,0,0,17,63,41,78,0,511999,3532390,-104.873,31.929
plot95,0,0,0,82,43,17,0,513401,3533087,-104.858,31.9353
plot96,0,0,0,11,133,3,0,513303,3532876,-104.859,31.9334
plot97,0,0,34,67,93,3,0,513250,3532694,-104.86,31.9318
plot98,0,0,0,52,57,57,0,513498,3532334,-104.857,31.9285
plot99,0,0,26,10,81,34,0,513310,3532256,-104.859,31.9278
plot100,0,0,0,19,141,15,0,513188,3532077,-104.86,31.9262
plot101,59,0,7,2,105,27,0,517802,3537457,-104.812,31.9747
plot102,0,0,0,91,39,7,3,518714,3537971,-104.802,31.9793
plot103,28,0,4,8,95,24,0,518576,3537757,-104.803,31.9774
plot104,49,0,66,2,30,53,0,518249,3537544,-104.807,31.9755
plot105,96,0,88,0,16,0,0,518475,3538175,-104.804,31.9811
plot106,5,0,13,7,111,65,0,518158,3537905,-104.808,31.9787
plot107,0,0,57,0,127,3,0,517981,3537969,-104.81,31.9793
plot108,5,0,58,0,79,26,0,517348,3538928,-104.816,31.988
plot109,33,0,97,0,62,9,0,517311,3538495,-104.817,31.9841
plot110,21,0,9,0,103,40,0,517191,3538692,-104.818,31.9858
plot111,35,0,96,0,19,51,0,516893,3538171,-104.821,31.9811
plot112,6,5,14,75,0,50,23,516590,3538399,-104.824,31.9832
plot113,28,0,89,0,26,57,0,516578,3538024,-104.825,31.9798
plot114,64,0,41,16,79,0,0,516462,3537582,-104.826,31.9758
plot115,0,144,24,0,11,0,0,514111,3536824,-104.851,31.969
plot116,0,165,10,0,26,0,0,514285,3536900,-104.849,31.9697
plot117,31,0,28,4,35,41,0,514326,3536722,-104.848,31.9681
plot118,0,0,17,61,67,15,7,515864,3533631,-104.832,31.9402
plot119,8,0,2,1,137,38,0,515733,3533707,-104.834,31.9409
plot120,16,0,30,18,136,0,0,516854,3537424,-104.822,31.9744
plot121,0,0,14,93,2,0,15,516759,3537609,-104.823,31.9761
plot122,5,2,4,29,28,13,48,517288,3537325,-104.817,31.9735
plot123,24,0,9,0,124,29,0,515455,3534410,-104.836,31.9472
plot124,0,0,0,112,47,9,5,515430,3534610,-104.837,31.949
plot125,0,0,0,72,57,18,8,515279,3534864,-104.838,31.9513
plot126,29,4,27,69,11,0,0,515321,3535318,-104.838,31.9554
plot127,2,0,5,106,28,24,10,515273,3535091,-104.838,31.9534
plot128,17,0,157,0,0,0,17,515108,3535297,-104.84,31.9552
plot129,27,149,25,0,0,0,0,514059,3535171,-104.851,31.9541
plot130,14,0,0,82,21,18,0,513880,3534975,-104.853,31.9523
plot131,17,0,8,58,35,16,13,513629,3535276,-104.856,31.9551
plot132,20,0,156,0,0,24,0,518710,3537185,-104.802,31.9722
plot133,99,12,89,0,0,0,0,515490,3537418,-104.836,31.9744
plot134,58,23,119,0,0,0,0,515379,3537723,-104.837,31.9771
plot135,67,7,13,17,24,6,19,515747,3537994,-104.833,31.9796
plot136,6,0,33,32,129,0,0,511686,3534392,-104.876,31.9471
plot137,0,0,16,119,42,19,0,511705,3534239,-104.876,31.9457
plot138,0,0,0,22,138,40,0,511577,3533960,-104.878,31.9432
plot139,0,0,7,104,65,23,0,511697,3533331,-104.876,31.9375
plot140,7,0,63,61,45,24,0,511728,3533600,-104.876,31.94
plot141,2,0,64,61,5,69,0,511544,3533615,-104.878,31.9401
plot142,154,46,0,0,0,0,0,509440,3536040,-104.9,31.962
plot143,167,33,0,0,0,0,0,509459,3536604,-104.9,31.9671
plot144,21,179,0,0,0,0,0,510044,3536504,-104.894,31.9662
plot145,64,136,0,0,0,0,0,510111,3536212,-104.893,31.9635
plot146,0,0,0,161,4,17,0,511985,3534900,-104.873,31.9517
plot147,0,0,3,26,103,68,0,511546,3534817,-104.878,31.9509
plot148,7,67,126,0,0,0,0,511504,3534618,-104.878,31.9491
plot149,0,6,0,18,88,80,0,512418,3534963,-104.869,31.9522
plot151,0,0,0,96,2,102,0,512113,3534790,-104.872,31.9507
plot152,0,0,0,53,33,56,5,512930,3534820,-104.863,31.951
plot153,0,0,28,27,16,90,12,512701,3534745,-104.866,31.9503
plot154,0,0,0,21,34,96,0,512712,3534465,-104.865,31.9478
plot155,24,176,0,0,0,0,0,512452,3534408,-104.868,31.9472
plot156,3,0,4,44,54,94,0,512383,3534267,-104.869,31.946
plot157,0,200,0,0,0,0,0,511184,3536069,-104.882,31.9622
plot158,0,200,0,0,0,0,0,511164,3535910,-104.882,31.9608
plot159,17,107,76,0,0,0,0,511081,3535683,-104.883,31.9588
plot160,57,106,37,0,0,0,0,510989,3535573,-104.884,31.9578
