plot__,UTM_E,UTM_N,PIPO,NEAR_FID,NEAR_DIST,lat,lon,map.label
28,515772,3531203,159.838919,0,38.5049753245,-104.833,31.9183,
132,518710,3537185,156.21114,29,20.9261202277,-104.802,31.9722,
148,511504,3534618,126.213804,28,70.6743899165,-104.878,31.9491,
58,513178,3534066,112.19074,28,42.4842143415,-104.861,31.9441,
15,515279,3532321,104.777076,5,140.38051578,-104.838,31.9284,
14,515272,3532134,82.834881,5,81.0249564136,-104.838,31.9267,
87,512115,3534328,78.231051,28,155.835394912,-104.872,31.9465,
18,514700,3532650,70.104118,26,32.0193051398,-104.844,31.9314,
1,514801,3532772,69.37904,5,119.456414273,-104.843,31.9325,
104,518249,3537544,66.048714,30,158.519598538,-104.807,31.9755,
141,511544,3533615,63.748939,23,88.6470253011,-104.878,31.9401,
49,514442,3535229,58.691224,26,92.0727000546,-104.847,31.9546,
19,514716,3532414,54.997039,26,58.7708304057,-104.844,31.9292,
