plot__,UTM_E,UTM_N,JUDE,NEAR_FID,NEAR_DIST,lon,lat,JUDE.label
142,509440,3536040,153.550776,20,137.912428096,-104.9,31.962,1
56,514225,3533501,124.694191,26,114.230179249,-104.85,31.939,2
14,515272,3532134,102.634998,5,81.0249564136,-104.838,31.9267,3
21,514750,3531903,75.338325,26,101.865296911,-104.844,31.9246,4
18,514700,3532650,70.257975,26,32.0193051398,-104.844,31.9314,5
19,514716,3532414,66.912264,26,58.7708304057,-104.844,31.9292,6
15,515279,3532321,64.45935,5,140.38051578,-104.838,31.9284,7
145,510111,3536212,64.19837,23,54.3751868004,-104.893,31.9635,8
20,514810,3532136,60.01121,26,29.0620353409,-104.843,31.9267,9
101,517802,3537457,58.986601,30,65.53971776,-104.812,31.9747,10
35,514962,3531849,50.020486,26,91.8503366786,-104.842,31.9241,11
0,515491,3529347,24,36,88.0869988698,-104.836,31.9015,12
0,515365,3529444,12,36,100.064683611,-104.838,31.9024,13
0,515389,3529424,14,36,84.2731866956,-104.837,31.9022,14
0,515289,3529477,10,36,127.82234917,-104.838,31.9027,15
0,515283,3529464,20,36,114.732676113,-104.838,31.9026,16
0,515462,3529334,6,36,60.3078310588,-104.836,31.9014,17
0,515343,3529414,12,36,69.9645602972,-104.838,31.9021,18
0,515490,3529302,8,36,48.5615475046,-104.836,31.9011,19
