PLOT,NORTHING,EASTING,SPECIES
plot1,665259,3238559,"jude, pice"
plot10,665482,3238499,"qugri, pice"
plot11,665695,3238347,"jude, qugri, quem, pice"
plot116,665730,3237036,"qugrav, quem"
plot12,665566,3238115,"jude, qugrav, quem, jufl"
plot14,665401,3237919,"qugrav, qugri"
plot40,665431,3236105,jude pice
plot49,666033,3235317,"jude, pice, qugri"
plot8,664974,3238539,"pice, quem"
plot98,665173,3236581,"qugrav, qugri"
plot99,665303,3236794,"qugrav, qugri"
