"Name","Latitude","Longitude","Description"
"JUDE2_plot1",29.2651235720238,-103.29906697261,"CM"
"JUDE2_plot11",29.2631538169665,-103.294612821209,"CM"
"JUDE2_plot12",29.2610777348536,-103.295974755276,"CM"
"JUDE2_plot132",29.2443813169258,-103.312106672781,"CM"
"JUDE2_plot23",29.2716950249138,-103.280217207398,"CM"
"JUDE2_plot40",29.2429619623717,-103.29766400977,"CM"
"JUDE2_plot49",29.2357739319537,-103.291589613905,"CM"
"JUDE2_plot9",29.2667371565426,-103.300357518498,"CM"
"JUFL_OG11",29.2770017453086,-103.32503294774,"CM"
"JUFL_OG13",29.2756650155193,-103.321339315283,"CM"
"JUFL_plot107",29.2403381673687,-103.305639846876,"CM"
"JUFL_plot12",29.2610777348536,-103.295974755276,"CM"
"JUFL_plot33",29.2383503430501,-103.298326773786,"CM"
"JUFL_plot9",29.2667371565426,-103.300357518498,"CM"
"JUPI_plot24",29.2828635128843,-103.280719759221,"CM"
"JUPI_plot29",29.2871799747993,-103.273277612883,"CM"
"JUPI_plot30",29.2885211776334,-103.275118122343,"CM"
"JUPI_plot74",29.2923808617929,-103.273540093624,"CM"
"JUPI_plot75",29.2909521435888,-103.270517265873,"CM"
"JUPI_plot80",29.2891330714319,-103.279883924468,"CM"
"PICE_plot1",29.2651235720238,-103.29906697261,"CM"
"PICE_plot10",29.2645530506257,-103.296781551965,"CM"
"PICE_plot11",29.2631538169665,-103.294612821209,"CM"
"PICE_plot19",29.272040507238,-103.286036461347,"CM"
"PICE_plot22",29.2729789296569,-103.282521628151,"CM"
"PICE_plot40",29.2429619623717,-103.29766400977,"CM"
"PICE_plot48",29.2414079464149,-103.295385098129,"CM"
"PICE_plot49",29.2357739319537,-103.291589613905,"CM"
"PICE_plot7",29.2631067954006,-103.303679740992,"CM"
"PICE_plot8",29.2649804322383,-103.302002257099,"CM"
"PIPO_OG1",29.2625872230571,-103.255610496267,"CM"
"PIPO_OG10",29.2635369687502,-103.25164276189,"CM"
"PIPO_OG2",29.2627120976999,-103.253426775243,"CM"
"QUEM_OG10",29.2635369687502,-103.25164276189,"CM"
"QUEM_OG11",29.2770017453086,-103.32503294774,"CM"
