"plot","northing","easting","spcode","mtn","lon","lat"
"D131",580341,3390422,"PICE","DM",-104.161549160886,30.6437571238816
"D150",580341,3394622,"PICE","DM",-104.161221924151,30.6816525711546
"D182",585142,3392830,"PICE","DM",-104.111251387804,30.6651508117733
"D19",581542,3392823,"PICE","DM",-104.148826710328,30.6653392098151
"D220",585140,3397020,"PICE","DM",-104.110925937249,30.7029555481476
"D32",582756,3393412,"PICE","DM",-104.136108336102,30.6705699394952
"D40",582749,3394633,"PICE","DM",-104.136083353275,30.6815870780572
"D179",586940,3393421,"PIPO","DM",-104.092435216821,30.6703534343658
"D184",586326,3392815,"PIPO","DM",-104.098894824282,30.6649303652094
"D188",585141,3392223,"PIPO","DM",-104.111311943176,30.6596741609646
"D189",585739,3392224,"PIPO","DM",-104.105070671507,30.6596403549174
"D194",585745,3391615,"PIPO","DM",-104.105058676772,30.6541451609723
"D20",582150,3393419,"PIPO","DM",-104.142433225987,30.6706750007658
"D26",583376,3391020,"PIPO","DM",-104.129830149591,30.6489445593594
"D7",580365,3391595,"PIPO","DM",-104.161207358468,30.6543391873135
"D9",580345,3392258,"PIPO","DM",-104.161364440053,30.6603226061782
"D188",585141,3392223,"PIST3","DM",-104.111311943176,30.6596741609646
"D21",583925,3392266,"PIST3","DM",-104.123999597412,30.6601483000216
"D26",583376,3391020,"PIST3","DM",-104.129830149591,30.6489445593594
"D115",580341,3394016,"QUEM","DM",-104.161269178046,30.6761848133282
"D168",584535,3394025,"QUEM","DM",-104.117488872928,30.6759760079496
"D20",582150,3393419,"QUEM","DM",-104.142433225987,30.6706750007658
"D220",585140,3397020,"QUEM","DM",-104.110925937249,30.7029555481476
"D39",582144,3394032,"QUEM","DM",-104.142446995352,30.6762063085889
"D42",585145,3396415,"QUEM","DM",-104.11092377987,30.6974965460802
"D45",583945,3395822,"QUEM","DM",-104.123501177082,30.6922313207385
"D51",580938,3392836,"QUEM","DM",-104.155129942796,30.6654976464325
"D54",581550,3394627,"QUEM","DM",-104.148600462603,30.6816155792489
"D101",581547,3397022,"QUGR2","DM",-104.148442094935,30.7032250415084
"D110",579139,3395824,"QUGR2","DM",-104.173677602151,30.6925782950293
"D267",588738,3401224,"QUGR2","DM",-104.072995049582,30.7406231819026
"D101",581547,3397022,"QUGR3","DM",-104.148442094935,30.7032250415084
"D105",583941,3397017,"QUGR3","DM",-104.123445490102,30.7030135944558
"D115",580341,3394016,"QUGR3","DM",-104.161269178046,30.6761848133282
"D151",579740,3394618,"QUGR3","DM",-104.167496248423,30.6816568390571
"D219",588143,3396417,"QUGR3","DM",-104.079622116129,30.6972965241559
"D237",584540,3398824,"QUGR3","DM",-104.1170425454,30.7192749772723
"D29",582147,3392222,"QUGR3","DM",-104.142559911095,30.6598750620951
"D54",581550,3394627,"QUGR3","DM",-104.148600462603,30.6816155792489
"D8",579763,3391574,"QUGR3","DM",-104.167491668644,30.6541901036236
"D93",580342,3395219,"QUGR3","DM",-104.161164919546,30.6870390526684
"D109",580338,3396420,"QUHY","DM",-104.161112968999,30.6978755654205
"D128",578543,3390425,"QUHY","DM",-104.180311496829,30.6439038506046
"D175",584539,3393419,"QUHY","DM",-104.117496827343,30.67050802469
"D183",585737,3392820,"QUHY","DM",-104.10504199103,30.6650179631258
"D195",577940,3389215,"QUHY","DM",-104.186695321629,30.6330257662489
"D201",579137,3388625,"QUHY","DM",-104.174250905804,30.6276235925743
"D206",577336,3390424,"QUHY","DM",-104.192906974233,30.6439736359084
"D21",583925,3392266,"QUHY","DM",-104.123999597412,30.6601483000216
"D25",583964,3391622,"QUHY","DM",-104.123644984007,30.6543349730782
"D26",583376,3391020,"QUHY","DM",-104.129830149591,30.6489445593594
"D267",588738,3401224,"QUHY","DM",-104.072995049582,30.7406231819026
"D7",580365,3391595,"QUHY","DM",-104.161207358468,30.6543391873135
