plot #,UTM E,UTM N,PIST
146,511985,3534900,161.0582076
77,512033,3533021,161.0004865
5,515482,3531173,141.2599845
90,512075,3534103,122.3793175
137,511705,3534239,119.1945036
6,515249,3531458,114.5151566
124,515430,3534610,111.5731061
26,514358,3531499,108.0907022
127,515273,3535091,106.0119951
139,511697,3533331,104.2424164
76,511881,3532803,96.74899744
151,512113,3534790,95.78788594
50,514648,3535416,95.1781502
82,512156,3533482,94.49395566
46,515740,3531819,93.66600442
121,516759,3537609,92.63666914
102,518714,3537971,90.91268742
84,513322,3533483,89.3826865
27,514600,3531700,89.22169866
38,514350,3531820,88.90862656
30,516136,3531290,85.54871119
73,512777,3532431,84.65858731
7,515084,3532160,83.12506821
12,515802,3532537,82.36099811
95,513401,3533087,81.8413833
130,513880,3534975,81.80914829
80,512263,3533664,80.40380607
23,514692,3533691,78.15575346
112,516590,3538399,75.41750113
125,515279,3534864,72.21608968
89,512322,3534045,70.94584323
10,516296,3531534,70.47157349
92,512591,3532881,68.90410842
126,515321,3535318,68.69619307
93,512455,3532704,68.04422477
97,513250,3532694,67.22406002
81,512290,3533553,63.88411337
94,511999,3532390,63.00635307
78,512434,3533212,62.41838881
140,511728,3533600,61.26348
74,512334,3532428,61.1383424
141,511544,3533615,60.68020776
118,515864,3533631,60.67008093
131,513629,3535276,57.58753453
88,512508,3533936,57.41341632
79,512730,3533404,54.73285716
62,514068,3533123,53.34749138
152,512930,3534820,52.83807645
35,514962,3531849,52.26587546
98,513498,3532334,51.91759509
