plot #,UTM E,UTM N,PIED
157,511184,3536069,200
158,511164,3535910,200
144,510044,3536504,178.5787005
155,512452,3534408,175.5931409
116,514285,3536900,164.5317877
71,514015,3534455,163.191449
129,514059,3535171,148.8510888
115,514111,3536824,144.2991142
17,515148,3532782,140.1783297
20,514810,3532136,139.98879
145,510111,3536212,135.8016295
57,512719,3534211,127.4680561
55,514406,3533311,112.4191501
87,512115,3534328,109.6441141
159,511081,3535683,107.4410017
160,510989,3535573,106.4463468
22,514968,3533320,98.21950438
