"plot","lon","lat","IV","spcode"
143,-104.899895045765,31.9653916149323,167.1509358,"JUDE2"
16,-104.838778394414,31.9288442567096,161.6573221,"JUDE2"
142,-104.900101632361,31.9603034482144,153.5507763,"JUDE2"
56,-104.849502059457,31.9373470173149,124.6941906,"JUDE2"
14,-104.838446592411,31.9250005049366,102.6349979,"JUDE2"
133,-104.836055874149,31.9726690052002,99.04446961,"JUDE2"
105,-104.804448689956,31.9794537699692,96.12346312,"JUDE2"
52,-104.8440126661,31.9489695976665,87.16840534,"JUDE2"
67,-104.85409241997,31.9381553215963,82.48783727,"JUDE2"
36,-104.847154622275,31.9237843007809,79.99829876,"JUDE2"
21,-104.843972021042,31.9229233506837,75.33832537,"JUDE2"
54,-104.845895691535,31.9365397448379,75.03054796,"JUDE2"
18,-104.844489585977,31.9296633475754,70.25797488,"JUDE2"
135,-104.833326438488,31.9778620260805,67.31247054,"JUDE2"
19,-104.844323911005,31.9275339760784,66.91226407,"JUDE2"
15,-104.838369592815,31.9266875029475,64.45934982,"JUDE2"
114,-104.825765598276,31.9741348786038,64.39654757,"JUDE2"
145,-104.892999016483,31.9618494214092,64.19837048,"JUDE2"
55,-104.847589946315,31.9356305781578,62.40749206,"JUDE2"
20,-104.843333769252,31.9250246695833,60.01120997,"JUDE2"
17,-104.839748170942,31.9308483451551,59.82167025,"JUDE2"
24,-104.840523341587,31.9352971142628,59.6184767,"JUDE2"
101,-104.811585356897,31.9729868936213,58.986601,"JUDE2"
134,-104.837225823244,31.9754221704258,58.4280257,"JUDE2"
160,-104.883714746596,31.9560762861796,56.6008301,"JUDE2"
53,-104.84593257708,31.9334543025425,56.17063289,"JUDE2"
22,-104.841644077863,31.9357045015104,55.32416654,"JUDE2"
41,-104.848516182757,31.9256354225096,51.10228271,"JUDE2"
35,-104.841730291031,31.9224333947136,50.02048642,"JUDE2"
157,-104.881645527743,31.9605492191911,200,"PICE"
158,-104.881859013459,31.9591149418685,200,"PICE"
144,-104.893705016929,31.9644843974133,178.5787005,"PICE"
155,-104.868248361059,31.9455506973656,175.5931409,"PICE"
116,-104.848817055864,31.9680115308962,164.5317877,"PICE"
71,-104.851709994981,31.9459564911785,163.191449,"PICE"
129,-104.851234031921,31.9524155954025,148.8510888,"PICE"
115,-104.850659660773,31.9673280515618,144.2991142,"PICE"
17,-104.839748170942,31.9308483451551,140.1783297,"PICE"
20,-104.843333769252,31.9250246695833,139.98879,"PICE"
145,-104.892999016483,31.9618494214092,135.8016295,"PICE"
57,-104.865425894762,31.9437704271788,127.4680561,"PICE"
55,-104.847589946315,31.9356305781578,112.4191501,"PICE"
87,-104.871815071848,31.9448325969784,109.6441141,"PICE"
159,-104.882739946352,31.9570677951064,107.4410017,"PICE"
160,-104.883714746596,31.9560762861796,106.4463468,"PICE"
22,-104.841644077863,31.9357045015104,98.21950438,"PICE"
28,-104.833172570764,31.9165942908335,159.8389193,"PIPO"
128,-104.840132056119,31.9535388585618,156.738322,"PIPO"
132,-104.801980489062,31.9705183357898,156.21114,"PIPO"
148,-104.878276404801,31.9474552999542,126.2138039,"PIPO"
134,-104.837225823244,31.9754221704258,118.8364756,"PIPO"
58,-104.860571406421,31.9424570173841,112.19074,"PIPO"
41,-104.848516182757,31.9256354225096,111.4734914,"PIPO"
15,-104.838369592815,31.9266875029475,104.777076,"PIPO"
109,-104.81676342348,31.982359128505,96.8194304,"PIPO"
111,-104.821193594716,31.9794423770182,95.49983612,"PIPO"
133,-104.836055874149,31.9726690052002,89.35131569,"PIPO"
113,-104.824530267955,31.9781208254391,89.26498553,"PIPO"
105,-104.804448689956,31.9794537699692,87.73030292,"PIPO"
83,-104.873393946841,31.9353972845196,87.10413188,"PIPO"
91,-104.872265125354,31.9407371144722,85.61158637,"PIPO"
14,-104.838446592411,31.9250005049366,82.83488095,"PIPO"
87,-104.871815071848,31.9448325969784,78.23105079,"PIPO"
40,-104.849784173818,31.926512052967,76.9739846,"PIPO"
159,-104.882739946352,31.9570677951064,75.73022306,"PIPO"
53,-104.84593257708,31.9334543025425,72.47219932,"PIPO"
18,-104.844489585977,31.9296633475754,70.10411767,"PIPO"
1,-104.843419251033,31.9307627043582,69.37903986,"PIPO"
104,-104.806852731256,31.973764679842,66.04871403,"PIPO"
74,-104.869522125005,31.9276886628624,65.31768768,"PIPO"
141,-104.877865135486,31.9384059533885,63.74893904,"PIPO"
140,-104.875918611619,31.9382687383135,62.55910853,"PIPO"
49,-104.847180445324,31.9529340500022,58.69122377,"PIPO"
108,-104.816364000026,31.9862649974296,57.54914979,"PIPO"
107,-104.809681315142,31.9776032286017,56.7561674,"PIPO"
19,-104.844323911005,31.9275339760784,54.99703903,"PIPO"
32,-104.839327100268,31.9174773484737,51.68783188,"PIPO"
146,-104.873183469078,31.9499944855485,161.0582076,"PIST3"
77,-104.872698939933,31.9330418745868,161.0004865,"PIST3"
5,-104.836240497875,31.916327624457,141.2599845,"PIST3"
90,-104.872241106726,31.9428031023977,122.3793175,"PIST3"
137,-104.876154218439,31.9440339548941,119.1945036,"PIST3"
6,-104.838700539732,31.918902017079,114.5151566,"PIST3"
124,-104.836735730461,31.9473365136831,111.5731061,"PIST3"
26,-104.848124640024,31.9192835302719,108.0907022,"PIST3"
127,-104.838389339568,31.9516781482285,106.0119951,"PIST3"
139,-104.876249840358,31.9358421719408,104.2424164,"PIST3"
76,-104.874309670488,31.9310767042122,96.74899744,"PIST3"
151,-104.871830447105,31.9490007208016,95.78788594,"PIST3"
50,-104.844997808189,31.9546184932393,95.1781502,"PIST3"
82,-104.87139189468,31.9371996520899,94.49395566,"PIST3"
46,-104.833501036651,31.9221522192901,93.66600442,"PIST3"
121,-104.822621683864,31.9743741136971,92.63666914,"PIST3"
102,-104.801922926104,31.9776094019807,90.91268742,"PIST3"
84,-104.859055859227,31.93719558415,89.3826865,"PIST3"
27,-104.845561801853,31.9210938453918,89.22169866,"PIST3"
38,-104.848204505355,31.9221796596697,88.90862656,"PIST3"
30,-104.829320946699,31.9173740818549,85.54871119,"PIST3"
73,-104.864835725478,31.9277108287442,84.65858731,"PIST3"
7,-104.840434920942,31.9252375873872,83.12506821,"PIST3"
12,-104.832833479936,31.9286290690525,82.36099811,"PIST3"
95,-104.858225540635,31.9336219902056,81.8413833,"PIST3"
130,-104.853130936875,31.9506495170863,81.80914829,"PIST3"
80,-104.870257551492,31.9388404827693,80.40380607,"PIST3"
23,-104.844558413861,31.9390552219935,78.15575346,"PIST3"
112,-104.824396811733,31.9815038248357,75.41750113,"PIST3"
125,-104.838329437674,31.9496301078923,72.21608968,"PIST3"
89,-104.869628480895,31.9422771779955,70.94584323,"PIST3"
10,-104.827624442818,31.9195731380517,70.47157349,"PIST3"
92,-104.866797509194,31.9317727572905,68.90410842,"PIST3"
126,-104.837877834273,31.953725459615,68.69619307,"PIST3"
93,-104.868238552304,31.9301773836491,68.04422477,"PIST3"
97,-104.859828404898,31.9300781628391,67.22406002,"PIST3"
81,-104.869973302192,31.9378387621498,63.88411337,"PIST3"
94,-104.873066458077,31.9273494213229,63.00635307,"PIST3"
78,-104.868454184733,31.9347607320519,62.41838881,"PIST3"
140,-104.875918611619,31.9382687383135,61.26348,"PIST3"
74,-104.869522125005,31.9276886628624,61.1383424,"PIST3"
141,-104.877865135486,31.9384059533885,60.68020776,"PIST3"
118,-104.832159663391,31.9384981296197,60.67008093,"PIST3"
131,-104.855782604534,31.9533681389963,57.58753453,"PIST3"
88,-104.86766194278,31.9412917585045,57.41341632,"PIST3"
79,-104.865320126953,31.9364896514004,54.73285716,"PIST3"
62,-104.851168581415,31.9339387058542,53.34749138,"PIST3"
152,-104.863185261279,31.9492623572451,52.83807645,"PIST3"
35,-104.841730291031,31.9224333947136,52.26587546,"PIST3"
98,-104.857209842228,31.9268273612138,51.91759509,"PIST3"
151,-104.871830447105,31.9490007208016,101.8828537,"QUGA"
60,-104.852510920144,31.9479693022522,99.70736098,"QUGA"
13,-104.832850344778,31.9310018500856,96.21018852,"QUGA"
154,-104.865496620432,31.9460620599471,96.18420707,"QUGA"
156,-104.868980237003,31.9442793691945,93.65989963,"QUGA"
153,-104.865609332174,31.9485883050763,90.37237499,"QUGA"
78,-104.868454184733,31.9347607320519,86.16289705,"QUGA"
48,-104.838114226065,31.915454899567,83.31850696,"QUGA"
150,-104.872593820091,29.2448579637043,82.03004807,"QUGA"
3,-104.842254759664,31.925032356279,80.60913332,"QUGA"
149,-104.868600979928,31.9505582046095,79.66708553,"QUGA"
94,-104.873066458077,31.9273494213229,78.25828409,"QUGA"
85,-104.860858131521,31.9347345944339,75.94951811,"QUGA"
34,-104.841013449543,31.9209980160095,75.92697028,"QUGA"
39,-104.850713045386,31.9277762144715,71.39816971,"QUGA"
