date.collected,date.spun,name,tag,spcode,trial,flushed,RPM,flow.bg.pre,height.balance.pre,flow,height.head,flow.bg.post,height.balance.post,temp,stem.length,cent.temp,Use,notes
6/14/14,6/18/14,Tailor,1011,JUDE2,1,T,15000,0,128,0.819737523,830,-0.039999724,127,22,13.8,20,,
6/14/14,6/18/14,Tailor,1011,JUDE2,1,T,15800,0,128,0.682706894,807,-0.025434953,130,22,13.8,20,,
6/14/14,6/18/14,Tailor,1011,JUDE2,1,T,16500,-0.05999906,129,0.612819546,793,-0.023000061,130,22,13.8,20,,Bark got stripped back in centrifuge
6/14/14,6/18/14,Tailor,1011,JUDE2,1,T,17200,-0.010000292,130,0.564429359,834,-0.039997303,130,22,13.8,18,,
6/14/14,6/18/14,Tailor,1011,JUDE2,1,T,17800,-0.04200043,131,-0.042001031,821,-0.039000499,131,22,13.8,18,,"Stem exposed to air, distal end damaged"
6/14/14,6/18/14,Tailor,1012,JUPI,1,T,0,-0.030003913,120,0.502933415,750,-0.036000115,121,22,13.8,,,Flushed for 5 hrs and 12 hours vacuum
6/14/14,6/18/14,Tailor,1012,JUPI,1,T,4700,-0.034999934,122,0.577033345,855,-0.037999864,122,22,13.5,18,,
6/14/14,6/18/14,Tailor,1012,JUPI,1,T,6700,-0.024000999,122,0.546014093,826,-0.05399942,123,22,13.5,18,,
6/14/14,6/18/14,Tailor,1012,JUPI,1,T,8300,-0.012999997,128,0.58299696,856,-0.043980516,129,22,13.5,18,,
6/14/14,6/18/14,Tailor,1012,JUPI,1,T,9500,-0.023968928,128,0.5706552,832,-0.047000399,129,22,13.5,20,,
6/14/14,6/18/14,Tailor,1012,JUPI,1,T,10700,-0.020002628,129,0.592751497,844,-0.050996428,129,22,13.5,18,,
6/14/14,6/18/14,Tailor,1012,JUPI,1,T,11700,-0.020001252,131,0.556265189,806,-0.033000707,131,22,13.5,18,,
6/14/14,6/18/14,Tailor,1012,JUPI,1,T,12600,-0.020000127,130,0.579962555,875,-0.040036483,131,22,13.5,18,,
6/14/14,6/18/14,Tailor,1012,JUPI,1,T,13500,-0.019998795,132,0.559944223,846,-0.010000074,134,22,13.5,20,,
6/14/14,6/18/14,Tailor,1012,JUPI,1,T,14300,0,134,0.551372624,839,-0.050000214,134,22,13.5,20,,
6/14/14,6/18/14,Tailor,1012,JUPI,1,T,15000,0,124,0.111998783,831,-0.045000383,125,22,13.5,20,,Bark stripped back in centrifuge on one part
6/14/14,6/18/14,Tailor,1012,JUPI,1,T,15800,-0.053999721,129,0.152995278,825,-0.039997256,129,22,13.5,20,,Stem came out of wells and got some damage at distal end
6/14/14,6/20/14,Tailor,1016,PIPO,1,T,0,0,129,1.049485789,816,-0.054999655,129,22,14,,,Vacuum incubated 24 hrs.
6/14/14,6/20/14,Tailor,1016,PIPO,1,T,0,0,129,1.0494857887,816,-0.0549996553,129,22,14.2,,,Centrifuge temp missing from this sheet
6/14/14,6/20/14,Tailor,1016,PIPO,1,T,1500,-0.0200016567,130,-0.0480103319,805,-0.0399972975,130,22,14.2,,,
6/14/14,6/20/14,Tailor,1016,PIPO,1,T,6700,-0.040011229,128,1.043220311,806,-0.05999586,130,22,14,18,,
6/14/14,6/20/14,Tailor,1016,PIPO,1,T,6700,-0.0400112293,128,1.0432203105,806,-0.0599958604,130,22,14.2,,,Centrifuge temp missing from this sheet
6/14/14,6/20/14,Tailor,1016,PIPO,1,T,9500,0,130,1.259388427,891,-0.039996281,131,22,14,18,,
6/14/14,6/20/14,Tailor,1016,PIPO,1,T,9500,0,130,1.2593884272,891,-0.039992681,131,22,14.2,,,Centrifuge temp missing from this sheet
6/14/14,6/20/14,Tailor,1016,PIPO,1,T,11700,-0.019998753,128,1.133026492,853,-0.01999862,128,22,14,18,,
6/14/14,6/20/14,Tailor,1016,PIPO,1,T,11700,-0.0199987527,128,1.330264916,853,-0.0199986201,128,22,14.2,,,Centrifuge temp missing from this sheet
