PLOT,NORTHING,EASTING
plot1,665259,3238559
plot11,665695,3238347
plot12,665566,3238115
plot132,664025,3236242
plot23,667080,3239314
plot40,665431,3236105
plot49,666033,3235317
plot9,665131,3238736
