PLOT,NORTHING,EASTING
plot116,665730,3237036
plot12,665566,3238115
plot139,666024,3236573
plot14,665401,3237919
plot35,665668,3235986
plot36,665564,3235418
plot58,665840,3234985
plot67,665561,3236277
plot98,665173,3236581
plot99,665303,3236794
