PLOT,NORTHING,EASTING
plot1,665259,3238559
plot10,665482,3238499
plot11,665695,3238347
plot19,666514,3239344
plot22,666854,3239453
plot40,665431,3236105
plot48,665655,3235936
plot49,666033,3235317
plot7,664814,3238329
plot8,664974,3238539
